"year","month","day","value"
2005,10,1,7.80265654648956
2005,10,2,8.16197183098592
2005,10,3,6.28379513014274
2005,10,4,5.84587155963303
2005,10,5,5.6180981595092
2005,10,6,5.03997378768021
2005,10,7,5.69128409846973
2005,10,8,7.96428571428571
2005,10,9,7.65228267667292
2005,10,10,6.10045662100457
2005,10,11,5.36389148737137
2005,10,12,4.92701998262381
2005,10,13,4.51400180668473
2005,10,14,4.91426344505066
2005,10,15,5.72577996715928
2005,10,16,6.31489015459723
2005,10,17,6.71976967370441
2005,10,18,6.83295454545455
2005,10,19,7.19170984455959
2005,10,20,7.15248962655602
2005,10,21,8.00604229607251
2005,10,22,8.17403314917127
2005,10,23,6.22163588390501
2005,10,24,6.13300492610837
2005,10,25,6.0036231884058
2005,10,26,5.54259401381427
2005,10,27,5.94551845342706
2005,10,28,7.58141382049245
2005,10,29,6.52533488642982
2005,10,30,6.44007989347537
2005,10,31,6.35583684950774
2005,11,1,9.02565930149679
2005,11,2,5.41644385026738
2005,11,3,5.55548705302096
2005,11,4,6.94894703254627
2005,11,5,6.33578104138852
2005,11,6,5.78849840255591
2005,11,7,5.90567484662577
2005,11,8,5.20567986230637
2005,11,9,5.35432569974555
2005,11,10,5.34025157232704
2005,11,11,4.80726600985222
2005,11,12,4.25641025641026
2005,11,13,4.23179692718771
2005,11,14,4.01534090909091
2005,11,15,5.53192771084337
2005,11,16,5.94912472647702
2005,11,17,6.55387114239307
2005,11,18,7.02880434782609
2005,11,19,5.79092159559835
2005,11,20,5.2960102960103
2005,11,21,4.82212257100149
2005,11,22,4.70070921985816
2005,11,23,6.80714285714286
2005,11,24,6.37716049382716
2005,11,25,6.16091281451141
2005,11,26,5.99330493000609
2005,11,27,5.13431833445265
2005,11,28,4.90944881889764
2005,11,29,2.82663150955834
2005,11,30,3.93890865954923
2006,10,1,8.50498084291188
2006,10,2,6.5297410776767
2006,10,3,7.16800643086817
2006,10,4,7.3294434470377
2006,10,5,7.38966836734694
2006,10,6,7.78957783641161
2006,10,7,7.5645896656535
2006,10,8,8.39579090291921
2006,10,9,8.48862199747155
2006,10,10,7.95279593318809
2006,10,11,6.96279069767442
2006,10,12,7.03581460674157
2006,10,13,7.29239230064161
2006,10,14,6.83396512509477
2006,10,15,6.90167516387473
2006,10,16,7.80939947780679
2006,10,17,8.63141278610892
2006,10,18,9.95269709543568
2006,10,19,6.46848137535817
2006,10,20,4.27244258872651
2006,10,21,5.03220973782772
2006,10,22,8.20714285714286
2006,10,23,3.63586956521739
2006,10,24,9.8498023715415
2006,10,25,4.85009733939001
2006,10,26,3.25252525252525
2006,10,27,8.23878205128205
2006,10,28,7.90790697674419
2006,10,29,6.22037914691943
2006,10,30,6.6728280961183
2006,10,31,6.33870967741935
2006,11,1,6.90855457227139
2006,11,2,6.57471264367816
2006,11,3,6.26963103122044
2006,11,4,6.46153846153846
2006,11,5,7.93349168646081
2006,11,6,7.94356846473029
2006,11,7,8.85525154457193
2006,11,8,9.50804828973843
2006,11,9,9.74265450861196
2006,11,10,8.52151639344262
2006,11,11,6.49343185550082
2006,11,12,5.97532556545579
2006,11,13,7.6769456681351
2006,11,14,5.72359550561798
2006,11,15,6.86136177194422
2006,11,16,4.40449438202247
2006,11,17,6.67234848484848
2006,11,18,1.95736793327155
2006,11,19,3.67448512585812
2006,11,20,8.8371335504886
2006,11,21,4.80906148867314
2006,11,22,5.67555147058824
2006,11,23,3.1157822191592
2006,11,24,2.55602536997886
2006,11,25,7.99756986634265
2006,11,26,9.71337946943483
2006,11,27,6.41322901849218
2006,11,28,5.80586592178771
2006,11,29,5.15526675786594
2006,11,30,4.62937062937063
2007,10,1,7.74714828897338
2007,10,2,8.3477508650519
2007,10,3,7.34982014388489
2007,10,4,6.83473684210526
2007,10,5,6.89319470699433
2007,10,6,7.28275862068966
2007,10,7,9.34324659231722
2007,10,8,9.78071539657854
2007,10,9,8.40639269406393
2007,10,10,9.44571428571428
2007,10,11,7.77335375191424
2007,10,12,6.50173913043478
2007,10,13,6.8541846419327
2007,10,14,8.81243731193581
2007,10,15,9.60024906600249
2007,10,16,8.65151515151515
2007,10,17,8.68342245989305
2007,10,18,8.65424610051993
2007,10,19,8.16045627376426
2007,10,20,6.50257731958763
2007,10,21,6.42054433713784
2007,10,22,5.99145299145299
2007,10,23,5.45919145690313
2007,10,24,5.46287519747235
2007,10,25,6.3420245398773
2007,10,26,7.12754716981132
2007,10,27,8.78673957621326
2007,10,28,8.15196850393701
2007,10,29,7.32364493322859
2007,10,30,6.17387616624258
2007,10,31,5.65233236151604
2007,11,1,5.85108086469175
2007,11,2,6.70601675552171
2007,11,3,7.8747461069736
2007,11,4,7.88873139617293
2007,11,5,6.44175824175824
2007,11,6,6.38014705882353
2007,11,7,6.59957776213934
2007,11,8,6.53983428935628
2007,11,9,10.8194622279129
2007,11,10,8.76524176594254
2007,11,11,8.34585824081981
2007,11,12,8.36835891381346
2007,11,13,6.86939571150097
2007,11,14,7.61124121779859
2007,11,15,7.90853658536585
2007,11,16,8.06453595574677
2007,11,17,6.2962962962963
2007,11,18,5.22532588454376
2007,11,19,5.56022584692597
2007,11,20,5.70693779904306
2007,11,21,5.39808306709265
2007,11,22,5.081875
2007,11,23,5.23594811612106
2007,11,24,6.32533825338253
2007,11,25,6.24269377382465
2007,11,26,6.1768826619965
2007,11,27,6.26846846846847
2007,11,28,3.84967320261438
2007,11,29,4.89080856945404
2007,11,30,4.6863309352518
2008,10,1,7.36723163841808
2008,10,2,9.0913140311804
2008,10,3,7.48795180722892
2008,10,4,8.9539641943734
2008,10,5,8.37179487179487
2008,10,6,8.72643678160919
2008,10,7,8.44230769230769
2008,10,8,7.27619047619048
2008,10,9,6.56470588235294
2008,10,10,5.89545454545455
2008,10,11,6.24723247232472
2008,10,12,6.23520710059172
2008,10,13,6.54385964912281
2008,10,14,7.53492063492063
2008,10,15,7.94835680751174
2008,10,16,4.35838150289017
2008,10,17,7.92880794701987
2008,10,18,7.25088339222615
2008,10,19,7.74917491749175
2008,10,20,9.01347708894879
2008,10,21,6.9490662139219
2008,10,22,7.24132492113565
2008,10,23,7.68493150684932
2008,10,24,8.10204081632653
2008,10,27,9.96466431095406
2008,10,28,12.9963144963145
2008,10,29,9.62860727728984
2008,10,30,7.76339869281046
2008,10,31,7.60362694300518
2008,11,1,7.42659974905897
2008,11,2,7.0609613130129
2008,11,3,7.16645962732919
2008,11,4,4.80522875816993
2008,11,5,9.1196388261851
2008,11,6,7.77206703910614
2008,11,7,5.99872286079183
2008,11,8,5.45501285347044
2008,11,9,5.50830140485313
2008,11,10,5.25126903553299
2008,11,11,6.13545816733068
2008,11,12,7.03272251308901
2008,11,13,9.19390581717452
2008,11,14,11.2057971014493
2008,11,15,8.95210727969349
2008,11,16,7.63968253968254
2008,11,17,6.66571834992888
2008,11,18,6.44692005242464
2008,11,19,6.70074074074074
2008,11,20,7.61253561253561
2008,11,21,9.65841584158416
2008,11,22,10.0688806888069
2008,11,23,8.0098730606488
2008,11,24,6.7667161961367
2008,11,25,6.52454417952314
2008,11,26,6.54593175853018
2008,11,27,6.96998420221169
2008,11,28,7.37383177570093
2008,11,29,10.1183261183261
2008,11,30,6.51828298887122
2009,10,1,7.05249343832021
2009,10,2,8.28571428571429
2009,10,3,10.8344827586207
2009,10,4,9.07421875
2009,10,5,9.0746887966805
2009,10,6,8.67132867132867
2009,10,7,8.11242603550296
2009,10,8,9.8433734939759
2009,10,9,10.585020242915
2009,10,10,8.50724637681159
2009,10,11,9.14579055441478
2009,10,12,8.39635535307517
2009,10,13,8.67469879518072
2009,10,14,8.52073732718894
2009,10,15,5.76602564102564
2009,10,16,8.03671706263499
2009,10,17,10.8563829787234
2009,10,18,9.81632653061224
2009,10,19,8.86941580756014
2009,10,20,9.44991511035654
2009,10,21,8.9703947368421
2009,10,22,7.7375415282392
2009,10,23,7.99621212121212
2009,10,24,6.70661896243292
2009,10,25,8.18798151001541
2009,10,26,7.23759398496241
2009,10,27,6.3796875
2009,10,28,6.01957295373666
2009,10,29,6.49196787148594
2009,10,30,5.91814159292035
2009,10,31,6.466
2009,11,1,4.67178502879079
2009,11,2,7.16966067864271
2009,11,3,9.10820895522388
2009,11,4,8.5095785440613
2009,11,5,8.99357601713062
2009,11,6,7.19784172661871
2009,11,7,8.03219315895372
2009,11,8,7.4950884086444
2009,11,9,4.81990521327014
2009,11,10,6.88536585365854
2009,11,11,4.46206896551724
2009,11,12,3.93816631130064
2009,11,13,5.17620137299771
2009,11,14,7.53215077605322
2009,11,15,8.25178147268409
2009,11,16,9.08470588235294
2009,11,17,9.57919621749409
2009,11,18,8.83935018050541
2009,11,19,8.62714776632302
2009,11,20,8.09466437177281
2009,11,21,7.10995542347697
2009,11,22,7.75252525252525
2009,11,23,6.87157534246575
2009,11,24,3.42541436464088
2009,11,25,3.85387323943662
2009,11,26,4.6743119266055
2009,11,27,5.46727549467276
2009,11,28,5.34138972809668
2009,11,29,5.65116279069767
2009,11,30,6.12251655629139
2010,10,1,12.9568965517241
2010,10,2,11.749593495935
2010,10,3,10.8171846435101
2010,10,4,10.1010101010101
2010,10,5,10.1321695760598
2010,10,6,10.4170854271357
2010,10,7,12.8528428093645
2010,10,8,13.6947791164659
2010,10,9,13.3851351351351
2010,10,10,14.4038997214485
2010,10,11,11.353488372093
2010,10,12,12.3230490018149
2010,10,13,11.1356238698011
2010,10,14,11.8799126637555
2010,10,15,10.2844574780059
2010,10,16,8.22077922077922
2010,10,17,7.15497076023392
2010,10,18,7.15234375
2010,10,19,6.88814016172507
2010,10,20,5.74683544303798
2010,10,21,6.74148296593186
2010,10,22,9.46638655462185
2010,10,23,8.20962732919255
2010,10,24,8.66402116402116
2010,10,25,10.8957783641161
2010,10,26,14.9217877094972
2010,10,27,14.3705463182898
2010,10,28,13.2446555819477
2010,10,29,8.38832997987928
2010,10,30,10.2521551724138
2010,10,31,12.031847133758
2010,11,1,13.3643216080402
2010,11,2,14.4583333333333
2010,11,3,11.3222506393862
2010,11,4,16.039312039312
2010,11,5,20.1490445859873
2010,11,6,14.3375394321767
2010,11,7,12.6654411764706
2010,11,8,10.8323262839879
2010,11,9,10.4007989347537
2010,11,10,10.558389261745
2010,11,11,12.3139158576052
2010,11,12,16.4711538461538
2010,11,13,12.5501905972046
2010,11,14,7.27901234567901
2010,11,15,5.90764790764791
2010,11,16,5.72617246596067
2010,11,17,4.58435582822086
2010,11,18,5.3122028526149
2010,11,19,6.3323782234957
2010,11,20,6.4
2010,11,21,8.62997347480106
2010,11,22,6.41487279843444
2010,11,23,8.72492401215806
2010,11,24,9.78744650499287
2010,11,25,10.0542857142857
2010,11,26,9.66801075268817
2010,11,27,11.1446740858506
2010,11,28,12.3805970149254
2010,11,29,13.7952069716776
2010,11,30,13.695847362514
2011,10,1,9.75843694493783
2011,10,2,9.87993421052632
2011,10,3,9.86646884272997
2011,10,4,7.56838905775076
2011,10,5,5.96010296010296
2011,10,6,5.73028571428571
2011,10,7,5.63764404609475
2011,10,8,4.20169252468265
2011,10,9,4.03709677419355
2011,10,10,4.01288244766506
2011,10,11,4.65378900445765
2011,10,12,5.44921316165951
2011,10,13,6.85243328100471
2011,10,14,8.6565349544073
2011,10,15,12.0716180371353
2011,10,16,13.1823899371069
2011,10,17,9.70786516853933
2011,10,18,8.35599284436494
2011,10,19,8.61652892561983
2011,10,20,9.49774436090226
2011,10,21,11.6487523992322
2011,10,22,10.7412587412587
2011,10,23,13.0051282051282
2011,10,24,12.940119760479
2011,10,25,11.9698558322412
2011,10,26,13.5445255474453
2011,10,27,10.9452662721893
2011,10,28,10.0899873257288
2011,10,29,9.47496617050068
2011,10,30,11.7503900156006
2011,10,31,12.5593434343434
2011,11,1,13.4328165374677
2011,11,2,10.8187274909964
2011,11,3,6.22460658082976
2011,11,4,5.08670520231214
2011,11,5,4.25245441795231
2011,11,6,4.62861072902338
2011,11,7,3.97271648873072
2011,11,8,4.03448275862069
2011,11,9,3.99270072992701
2011,11,10,5.3853459972863
2011,11,11,5.40898617511521
2011,11,12,6.67915106117353
2011,11,13,9.16734143049933
2011,11,14,9.59541984732824
2011,11,15,9.67412935323383
2011,11,16,10.3947368421053
2011,11,17,12.9394939493949
2011,11,18,12.0301724137931
2011,11,19,10.3174603174603
2011,11,20,8.71267252195734
2011,11,21,9.05236270753512
2011,11,22,8.36930455635492
2011,11,23,7.92378449408673
2011,11,24,8.91096774193548
2011,11,25,11.2082262210797
2011,11,26,11.6829558998808
2011,11,27,11.9960578186597
2011,11,28,9.29281767955801
2011,11,29,9.77318116975749
2011,11,30,8.70694444444444
2012,10,1,8.12189616252822
2012,10,2,9.8609756097561
2012,10,3,11.5660377358491
2012,10,4,11.1943319838057
2012,10,5,12.1412803532009
2012,10,6,11.6491477272727
2012,10,7,12.2661538461538
2012,10,8,17.212213740458
2012,10,9,17.9224652087475
2012,10,10,11.5560081466395
2012,10,11,11.1546762589928
2012,10,12,11.3501628664495
2012,10,13,11.1648501362398
2012,10,14,12.2542372881356
2012,10,15,11.3647058823529
2012,10,16,15.3712871287129
2012,10,17,14.5637663885578
2012,10,18,13.6422569027611
2012,10,19,11.7889374090247
2012,10,20,15.8218085106383
2012,10,21,12.6289855072464
2012,10,22,7.94179894179894
2012,10,23,6.43661971830986
2012,10,24,6.79633620689655
2012,10,25,6.65022421524664
2012,10,26,6.50617283950617
2012,10,27,4.79573934837093
2012,10,28,5.21191135734072
2012,10,29,6.44113667117727
2012,10,30,6.52103120759837
2012,10,31,7.49295774647887
2012,11,1,12.6544240400668
2012,11,2,16.5260273972603
2012,11,3,17.3736263736264
2012,11,5,11.1361161524501
2012,11,6,10.7398843930636
2012,11,7,10.2729591836735
2012,11,8,11.9594594594595
2012,11,9,13.9842424242424
2012,11,10,14.5556805399325
2012,11,11,15.8306997742664
2012,11,12,14.5952914798206
2012,11,13,15.4572864321608
2012,11,14,13.1289926289926
2012,11,15,12.696511627907
2012,11,16,12.8051948051948
2012,11,17,16.0049321824908
2012,11,18,16.3584499461787
2012,11,19,16.2943221320973
2012,11,20,11.889010989011
2012,11,21,7.15994436717663
2012,11,22,5.93075898801598
2012,11,23,5.08144192256342
2012,11,24,5.10989010989011
2012,11,25,5.27958387516255
2012,11,26,5.41431924882629
2012,11,27,6.35753575357536
2012,11,28,7.62910798122066
2012,11,29,7.19890260631001
2012,11,30,9.1874213836478
2013,10,1,11.1518518518519
2013,10,2,11.2261904761905
2013,10,3,11.1454081632653
2013,10,4,9.53801169590643
2013,10,5,11.7727272727273
2013,10,6,13.7201017811705
2013,10,7,12.5969827586207
2013,10,8,13.5893805309735
2013,10,9,12.385046728972
2013,10,10,12.3064220183486
2013,10,11,9.57905982905983
2013,10,12,6.40418118466899
2013,10,13,5.96118299445471
2013,10,14,6.00941915227629
2013,10,15,6.47142857142857
2013,10,16,5.71332436069987
2013,10,17,5.24843945068664
2013,10,18,5.41588785046729
2013,10,19,6.14086687306502
2013,10,20,8.02737520128824
2013,10,21,10.559925093633
2013,10,22,12.3587962962963
2013,10,23,11.2625215889465
2013,10,24,12.8190854870775
2013,10,25,17.0538922155689
2013,10,26,14.6877022653722
2013,10,27,11.7387543252595
2013,10,28,9.9275956284153
2013,10,29,10.4241192411924
2013,10,30,9.77078085642317
2013,10,31,11.8320209973753
2013,11,1,13.3047158403869
2013,11,2,16.155737704918
2013,11,4,15.3890214797136
2013,11,5,10.5086455331412
2013,11,6,11.531976744186
2013,11,7,11.1161548731642
2013,11,8,11.0748218527316
2013,11,9,10.2986425339367
2013,11,10,7.64646464646465
2013,11,11,7.04301075268817
2013,11,12,5.94301675977654
2013,11,13,4.49869109947644
2013,11,14,4.22057001239157
2013,11,15,4.35459183673469
2013,11,16,4.8531746031746
2013,11,17,7.15384615384615
2013,11,18,7.46375
2013,11,19,10.7967032967033
2013,11,20,13.6099537037037
2013,11,21,11.4725415070243
2013,11,22,10.4550641940086
2013,11,23,9.97768479776848
2013,11,24,9.12158808933003
2013,11,25,10.8057553956835
2013,11,26,10.2769028871391
2013,11,27,14.1088607594937
2013,11,28,14.7649164677804
2013,11,29,12.4666666666667
2013,11,30,9.88124156545209
